Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,python_yn,R_yn,spark,aws,excel
Lead Data Scientist,$134K - $170K (Glassdoor est.),"Master degree in Statistics, Data Science and/or other STEM related field or Bachelor degree in a similar field with significant professional experience.…
Skills: Software troubleshooting, R, Google Cloud Platform, PHP, Presentation skills",4.1,Waystar,"Atlanta, GA",1001 to 5000 Employees,0,0,134,170,152.0,Atlanta,0,0,0,0,0
Senior Applied Scientist,$200K - $290K (Employer est.),"MS or PhD in Statistics, Mathematics, Computer Science or related field. Running regular benchmarking tests and perform statistical analysis, draw conclusions……
Skills: TensorFlow, Computer science, C#, Java, C++",4.0,UiPath,"Bellevue, WA",1001 to 5000 Employees,0,0,200,290,245.0,Bellevue,0,0,0,0,0
AI/Data Scientist,$145K - $296K (Employer est.),"Design, develop, and implement custom state of the art generative LLMs (e.g. models similar to GPT or ChatGPT or GPT4) and discriminative LLMs (e.g. models……
Skills: TensorFlow, Multilingual, Google Cloud Platform, Machine learning, Deep learning",4.1,Accenture Federal Services,"Arlington, VA",10000+ Employees,0,0,145,296,220.5,Arlington,0,0,0,0,0
"Principal Applied Scientist , Applied AI",$179K - $310K (Employer est.),"This team offers a unique opportunity to make a significant impact on the customer experience and contribute to the design, architecture, and implementation of……
Skills: System design, Research, Java, C++, Project management",3.7,Amazon.com Services LLC,"Bellevue, WA",10000+ Employees,0,0,179,310,244.5,Bellevue,0,0,0,0,0
"Manager, Clinical Data Scientist, Clinical Data Sciences",$84K - $156K (Employer est.),"Participates and ensures quality database design including documentation, testing and implementation of clinical data collection tools, both CRF and non-CRF,……
Skills: Microsoft Access, Oracle, Clinical research, Relational databases, Microsoft SQL Server",3.9,Pfizer,"Bothell, WA",Unknown,0,0,84,156,120.0,Bothell,0,0,0,0,0
"Associate Director, Data Science",$202K - $245K (Employer est.),"At Maze, we are impact obsessed in every initiative and as part of your role, you will be responsible for evaluating beyond the hype of the latest technologies……
Skills: Cell biology, R, Git, Google Cloud Platform, Statistical analysis",4.3,Maze Therapeutics,"South San Francisco, CA",51 to 200 Employees,0,0,202,245,223.5,South San Francisco,0,0,0,0,0
Staff Research Scientist - Artificial Intelligence,$177K - $218K (Glassdoor est.),"You will join a high-caliber team of domain experts, data scientists, and machine learning engineers to shape our strategy in this area, and develop advanced……
Skills: TensorFlow, Research, Machine learning, Mentoring, Natural language processing",4.4,Intuit,"Mountain View, CA",10000+ Employees,0,0,177,218,197.5,Mountain View,0,0,0,0,0
Principal Applied Scientist – Autonomous Security Agents,$138K - $294K (Employer est.),"The Microsoft Security organization accelerates Microsoft’s mission and bold ambitions to ensure that our company and industry is securing digital technology……
Skills: Statistics, Research, Presentation skills, Machine learning, Predictive analytics",4.2,Microsoft,"Redmond, WA",10000+ Employees,0,0,138,294,216.0,Redmond,0,0,0,0,0
Assistant Dean - Applied Biomedical Data Sciences (St. Jude Graduate School),$95K - $170K (Employer est.),"A background in data science (statistics, computing) or data science education. In recognition of certain U.S. state and municipal pay transparency laws, St.…
Skills: Statistics, Program management, Writing skills, Continuous improvement, Risk management",4.5,St. Jude Children's Research Hospital,"Memphis, TN",5001 to 10000 Employees,0,0,95,170,132.5,Memphis,0,0,0,1,0
Data Science Manager,$96K - $156K (Glassdoor est.),"Encourages innovation within the team to explore new data science techniques and tools. Boston Children’s Hospital offers competitive compensation and unmatched……
Skills: Data modeling, Statistical analysis, Machine learning, Team management, Predictive analytics",4.0,Boston Children's Hospital,"Boston, MA",5001 to 10000 Employees,0,0,96,156,126.0,Boston,0,0,0,0,0
"Sr. Data Scientist, Supply Chain Science",$143K - $248K (Employer est.),"You will also collaborate with technical teams to develop optimization tools for network flow planning and execution systems. Paid Time Off (PTO).…
Skills: MATLAB, Business intelligence, SAS, Supply chain, R",3.7,Amazon.com Services LLC - A57,"Santa Monica, CA",10000+ Employees,0,0,143,248,195.5,Santa Monica,0,0,0,0,0
"Data Scientist, Signal Processing and Machine Learning",$119K - $169K (Employer est.),"You will work closely with cross-functional teams (hardware, software, clinical science, quality and regulatory) to plan and execute clinical studies for……
Skills: TensorFlow, Signal processing, Data analysis skills, SQL, Machine learning",3.2,Verily,"San Bruno, CA",1001 to 5000 Employees,0,0,119,169,144.0,San Bruno,0,0,0,0,0
Applied Scientist II,$98K - $209K (Employer est.),"They will play a key role in driving algorithmic improvements to online and offline systems, develop and deliver robust and scalable solutions, make direct……
Skills: TensorFlow, Statistics, Computer science, Data mining, Research",4.2,Microsoft,"Redmond, WA",10000+ Employees,0,0,98,209,153.5,Redmond,0,0,0,0,0
Formulation Principal Scientist (Data Modeling/Analytics) - Mars Pet,$103K - $152K (Glassdoor est.),"Master’s degree or higher in Animal Science, Food Science, Food Chemistry, Biology, Chemistry or related technical field (Preferred PhD).…
Skills: Microbiology, SAP, Research, Math, HACCP",4.3,Mars,"Franklin, TN",10000+ Employees,0,0,103,152,127.5,Franklin,0,0,0,0,0
